P.P.K.H. WIS-MARK Sp. z o.o.;(54)2365536;;
P.P.K.H. WIS-MARK Sp. z o.o.;(54)2362036;;
Przedsiębiorstwo Innowacyjno-Wdrożeniowe ATRONIK-2 S.c. Joanna Galas & Marek Galas;(32)2817765;;
Przedsiębiorstwo Innowacyjno-Wdrożeniowe ATRONIK-2 S.c. Joanna Galas & Marek Galas;(32)3860001;;
RADIOSTER Sp. z o.o.;(32)2520222;;
RADIOSTER Sp. z o.o.;(32)2520444;;
DOLEZYCH Sp. z o.o.;(32)6035810;;
DOLEZYCH Sp. z o.o.;(32)6035829;;
GH CRANES Sp. z o.o.;(34)3597317;;
GH CRANES Sp. z o.o.;0801559995;;
ID LIFTING Sp. z o.o.;(71)3070123;;
P.P.H.U. UNISUW Paweł Karbownik;(32)3070747;;
P.P.H.U. UNISUW Paweł Karbownik;535937907;;
PPHU Ajer-Tech;(77)4473729;;
Przedsiębiorstwo Remontowe Urządzeń Technicznych PRUT S.c.;(32)2526864;;
Remontaż Sp. z o.o.;(32)2220888;;
Remontaż Sp. z o.o.;600970644;;
SuwMaster Sp.j.;(32)2211441;;
SuwMaster Sp.j.;664976784;;
TECNOMASZ;502534332;;
Bytomski Zakład Urządzeń Dźwignicowych Sp. z o.o.;(32)2802407;;
Bytomski Zakład Urządzeń Dźwignicowych Sp. z o.o.;(32)3877168;;
DŹWIGAR Brogul i Stępień Sp.j.;(61)8311740;;
DŹWIGAR Brogul i Stępień Sp.j.;603397980;;
ELSZYK;(58)3415534;;
ELSZYK;508134804;;
P.P.U. REMAR Sp. z o.o.;533222999;;
Zakład Małej Mechanizacji RAGOR Sp. z o.o.;(32)2895497;;
Zakład Małej Mechanizacji RAGOR Sp. z o.o.;(32)2866335;;
F.H.U. KRAKMAR S.c.;(12)6507110;;
F.H.U. KRAKMAR S.c.;(12)6531880;;
FUGOR Sp. z o.o.;(62)7252735;;
FUGOR Sp. z o.o.;(62)7253226;;
KRANTRAK HIAB-ŚLĄSK Piotr Płonka;(32)2675041-42w.329;;
KRANTRAK HIAB-ŚLĄSK Piotr Płonka;(32)2673727w.329;;
SKAPER S.c.;(71)7127555;;
SKAPER S.c.;601286146;;
Zakład Zawiesi Linowych SILNO;(56)6489549;;
Zakład Zawiesi Linowych SILNO;(56)6489730;;
BK DŹWIG Sp. z o.o.;(22)6186214;;
BK DŹWIG Sp. z o.o.;(22)2034646;;
Europrotec Sp. z o.o.;(95)7581170;;
Europrotec Sp. z o.o.;512313315;;
Montaż, Naprawa i Konserwacja Dźwigów S.c.;(59)8403644;;
Montaż, Naprawa i Konserwacja Dźwigów S.c.;602377986;;
PROCELWAG Sp. z o.o.;604282537;;
PROCELWAG Sp. z o.o.;(32)2318419;;
Przedsiębiorstwo Usług Sprzętowo-Transportowych PORTAL Sp. z o.o.;(58)3013836;;
Przedsiębiorstwo Usług Sprzętowo-Transportowych PORTAL Sp. z o.o.;(58)3463264;;
Zakład Remontowo-Usługowy SUWMONT Kościelny Leszek, Zymróz Teresa;(17)8547089;;
Zakład Remontowo-Usługowy SUWMONT Kościelny Leszek, Zymróz Teresa;502519270;;
FHU EL-HUT BIS;(12)2677541;;
FHU EL-HUT BIS;(12)2677525;;
OTUNIT POLSKA Przedstawicielstwo;509805060;;
OTUNIT POLSKA Przedstawicielstwo;(32)2301673;;
SUWMAR Suwnice;785152555;;
AHS POLSKA Sp. z o.o.;(71)3503084działhandlowy;;
AHS POLSKA Sp. z o.o.;(71)3503085działtechniczny;;
AIR-LIFT;728563690;;
AIR-LIFT;881563690;;
AM Serwis Dźwignice;(52)3490264;;
AM Serwis Dźwignice;600315956;;
AN LIFT Sp. z o.o.;(32)4230529;;
AN LIFT Sp. z o.o.;695933550;;
Carl Stahl Tech Service Sp. z o.o.;(95)7288885;;
Carl Stahl Tech Service Sp. z o.o.;(95)7288886;;
Centrum Konserwacji Dźwignic PROLIFT;696424184;;
Columbus McKinnon Polska Sp. z o.o.;(61)6566622;;
Columbus McKinnon Polska Sp. z o.o.;(61)6566688;;
Dalmec Polska Sp. z o.o.;(22)7036233;;
Dalmec Polska Sp. z o.o.;(22)7165724;;
DAREX Zakład Remontowo-Usługowy;501192104;;
DAW-MAR Zakład Produkcji Zawiesi Linowych i Łańcuchowych;(32)2742517;;
DAW-MAR Zakład Produkcji Zawiesi Linowych i Łańcuchowych;(32)2739129;;
DHC Sp. z o.o.;(32)2512592;;
DIAMENTPORT;(77)5506088;;
DIAMENTPORT;(77)4428280;;
EDBO;(32)2613097;;
EDBO;(32)2623261;;
ehak24.pl;(71)7160445;;
ehak24.pl;696024776;;
Eksploatacja Dźwignic Sp. z o.o. Sp.komandytowa;(33)4988511;;
Eksploatacja Dźwignic Sp. z o.o. Sp.komandytowa;(33)4988513;;
Elektromechanika Dźwignicowa Henryk Wójtowicz;605688154;;
Elektromechanika Dźwignicowa Henryk Wójtowicz;(71)7939616;;
Ematech S.A.;(32)2238304;;
Ematech S.A.;(32)2253942;;
ENERGOTECH-eko Sp. z o.o.;(32)2805040;;
ENERGOTECH-eko Sp. z o.o.;(32)2805033;;
ESTE;781972727;;
ESTE;517961144;;
F.P.H. Transpas Sp.j.;(22)8175074;;
F.P.H. Transpas Sp.j.;603768484;;
F.P.H.U. ETHOS;(32)2328553;;
F.P.H.U. ETHOS;501162158;;
Fabryka Maszyn i Urządzeń FAMAK S.A.;(77)4477100;;
Fabryka Maszyn i Urządzeń FAMAK S.A.;(77)4477401;;
Firma Handlowa DALEX;608465638;;
Firma Handlowa DALEX;(32)2351632;;
GABO Polska;(61)8479845;;
GABO Polska;(61)8479846;;
HAK Sp. z o.o.;(71)3493545;;
HAK Sp. z o.o.;(71)3493076;;
Handel-Usługi Chust Jarosław;(56)6433380;;
Handel-Usługi Chust Jarosław;608329752;;
KATESTAL Bober Piotr;(32)3362612;;
KATESTAL Bober Piotr;(32)2311075;;
KranTech Sp. z o.o.;(91)3332747;;
Lift-Technika Bis Sp. z o.o.;(71)3260691;;
Lift-Technika Bis Sp. z o.o.;(71)3253458;;
Lift-Technika Sp. z o.o.;(71)3260691;;
Lift-Technika Sp. z o.o.;(71)3253458;;
Lifts4U;695030624;;
manulift Sp. z o.o.;(22)1884060;;
manulift Sp. z o.o.;(22)1884061;;
MCC Sp. z o.o.;(25)7595500;;
MCC Sp. z o.o.;(25)7595501;;
MIKUD Krzysztof Wiśniewski;504580482;;
MIKUD Krzysztof Wiśniewski;604750893;;
MP LIFTSYSTEM;604565583;;
MP LIFTSYSTEM;696074695;;
P.P.H.U. Selltech Sp.j.;(77)4473415;;
P.P.H.U. Selltech Sp.j.;(77)4473413;;
P.U.H DŹWIGNICA;(56)6438531;;
P.U.H DŹWIGNICA;501525926;;
P.W. Dźwigopol;(42)6840136;;
P.W. Dźwigopol;508678595;;
PARRK Sp. z o.o.;(61)8793003;;
PPHU KRAN-SUW;602702634;;
PPHU KRAN-SUW;(77)4691187;;
PPUH PAS Sp. z o.o.;(32)4574345;;
PPUH PAS Sp. z o.o.;(32)4574346;;
PROFI-LIFT Krzysztof Krzywoń;(33)4876659;;
PROFI-LIFT Krzysztof Krzywoń;(33)4876793;;
Przedsiębiorstwo EUROMART;(58)7395175;;
Przedsiębiorstwo EUROMART;(58)7395375;;
Przedsiębiorstwo Handlowo-Usługowe WOJTECH;(32)7008313;;
Przedsiębiorstwo Handlowo-Usługowe WOJTECH;693626441;;
PS Logistics Sp. z o.o.;(65)5131292;;
PS Logistics Sp. z o.o.;(65)5131027;;
Red Rooster Poland Sp. z o.o.;(12)2785666;;
Sanger Metal Sp. z o.o.;(91)4623025;;
Sanger Metal Sp. z o.o.;(91)4623345;;
SIGMA LIFT;(91)4247940;;
SIGMA LIFT;(91)4247955;;
Spółdzielnia Produkcji i Usług Rolnych AGRITECH;(42)2158459;;
SUW-BED;606962082;;
SUW-BED;694468478;;
TELMET;(58)5223332;;
TELMET;(58)3497446;;
TRANSREM Sp. z o.o.;(77)4517364;;
TRANSREM Sp. z o.o.;(77)4514090;;
TRANSREM Sp. z o.o. Filia Katowice;(32)2543716;;
TRANSREM Sp. z o.o. Filia Katowice;(32)2543689;;
TRANSREM Sp. z o.o. Filia Wrocław;(71)7891308;;
TRANSREM Sp. z o.o. Filia Wrocław;(71)7891311;;
UTB Serwis - Zakład Elektromechaniki Dźwignic;(52)3844774;;
VARIOPOOL;(91)8812006;;
VARIOPOOL;(91)8866062;;
Wciągniki Bułgarskie Sevtech C&P;609360006;;
Z.U.H. Suw-Tor Wojciech Bukała;(95)7356760;;
Z.U.H. Suw-Tor Wojciech Bukała;603981040;;
Z.U.P. Witstal;(67)2614012;;
Z.U.P. Witstal;513643037;;
Zakład Elektromechaniki Dźwigowej;502139749;;
Zakład Inżynierii Dźwignic;(59)8104585;;
Zakład Inżynierii Dźwignic;(59)8106153;;
Zakład Konserwacji Dźwignic ESENO;(22)6750083;;
Zakład Konserwacji Dźwignic ESENO;(22)8110219;;
Zakład Mechaniki Maszyn;(32)2348775;;
Zakład Mechaniki Maszyn;(32)2348774;;
Zakład Remontu i Napraw Urządzeń Dźwignicowych DŹWIGREM;(34)3576029;;
Zakład Remontu i Napraw Urządzeń Dźwignicowych DŹWIGREM;605729917;;
Zakład Urządzeń Dźwignicowych;(17)8634588;;
Zakład Urządzeń Dźwignicowych;601508676;;
Zakład Usług Stoczniowo-Portowych JANMOR;(58)3413990;;
Zakład Usługowo-Handlowy ELWIKO Stanisław Dropik;(91)8101020;;
Zakład Usługowo-Handlowy ELWIKO Stanisław Dropik;(91)8101022;;
ZETECH;(32)7330938;;
ZETECH;(32)6664313;;
ZPU Maran Sp. z o.o.;(58)6822289;;
ZPU Maran Sp. z o.o.;601652972;;
MASSIV Marcin Chlebek;(32)5080725;;
MASSIV Marcin Chlebek;(32)5080726;;
ARMA Polska Sp. z o.o.;(32)4012000;;
ARMA Polska Sp. z o.o.;(32)4012010;;
Bałtycka Akademia Umiejętności Michalina Barańska;(58)3437722;;
Bałtycka Akademia Umiejętności Michalina Barańska;(58)3437925;;
EPD Henryk Muszałowski;(68)3823382;;
EPD Henryk Muszałowski;(68)3828893;;
F.H.U. ELTOM Tomasz Machlarz;(32)2443413;;
F.H.U. ELTOM Tomasz Machlarz;506171155;;
Firma Handlowa PAWEŁ Łuczko Paweł;(32)3321944;;
Gliwickie Zakłady Urządzeń Technicznych GZUT S.A.;(32)3381500;;
Gliwickie Zakłady Urządzeń Technicznych GZUT S.A.;(32)2316908;;
Ipsum Mechanika Techniczna;600577762;;
Ipsum Mechanika Techniczna;517745776;;
Konserwacja Naprawa Urządzeń Dźwignicowych KOLSAM Jan Kajstura;(33)4892313;;
Konserwacja Naprawa Urządzeń Dźwignicowych KOLSAM Jan Kajstura;602848047;;
KONŻUR Konserwacja i Remont Urządzeń Transportu Bliskiego;(12)2929527;;
ND Service;663220882;;
P.H.U. MADRAT Marcin Dąbski;(81)5625077;;
P.H.U. MADRAT Marcin Dąbski;602502401;;
PB REMKO;(18)4429437;;
PB REMKO;(18)4425376;;
PPHU HIK Janina Oleksy;(68)4782829;;
PPHU HIK Janina Oleksy;(68)4443526;;
PREMAR Sp. z o.o.;(22)7522049;;
Przedsiębiorstwo Handlowo-Remontowe POL-DŹWIG Sp. z o.o.;(76)8443875;;
Przedsiębiorstwo IDAL Sp. z o.o.;(58)6610590;;
Przedsiębiorstwo IDAL Sp. z o.o.;(58)6610599;;
PW Hutnik Sp.komandytowa;(41)2470670;;
PW Hutnik Sp.komandytowa;(41)2475081;;
RaderTechnology Rafał Kowalczuk;602188268;;
RaderTechnology Rafał Kowalczuk;600896223;;
SIMAR Zakład Przezwajania Silników Elektrycznych;(32)2652774;;
SIMAR Zakład Przezwajania Silników Elektrycznych;(32)2658847;;
SP REMAK Zakład Usługowy;(61)8783331;;
SP REMAK Zakład Usługowy;(61)8783332;;
Stalkowent Sp. z o.o.;(32)7775796;;
Stalkowent Sp. z o.o.;(32)7775740;;
UNCO;698141717;;
Usługi Remontowo–Montażowe Maszyn Budowlanych Kazimierz Kowalski;(81)7499138;;
Usługi Remontowo–Montażowe Maszyn Budowlanych Kazimierz Kowalski;604533660;;
Veltor Global Trading;(76)7530122;;
Veltor Global Trading;603866543;;
Z.H.U. Trans-Sprzęt-Jasło Grzegorz Lepak Usługi Dźwigowe;790716700;;
Zakład Usług Ogólno Elektrycznych i Konserwacji Dźwignic ELKON;(52)5851132;;
Zakład Usług Ogólno Elektrycznych i Konserwacji Dźwignic ELKON;512108863;;
